# timestamp: 2022/07/26-21:43:47
# script_parameters: {'runtime_per_epoch': 40, 'readout_noise': 0.014142135623730952, 'length_oc': 9.900000000000001e-08, 'is_noisy': True, 'generate_parameters': {'name': 'oc_nrep', 'n_start': 1, 'n_step': 1, 'num_of_points': 8, 'filename_amplitude': 'on_nv=2_amplitude.txt', 'filename_phase': 'on_nv=2_phase.txt', 'folder_path': 'C:\\Software\\qudi_data\\optimal_control_assets', 't_gap': 1.1904761904761904e-07, 'vs_rect_pulse': False, 'alternating': True, 'experiment': 'oc_nrep'}, 'fom_function': <function add_penalty_freq_bandstop.<locals>.extend_fom at 0x000000F4B6A572F0>, 'pulsed_generation_params': OrderedDict([('laser_channel', 'd_ch4'), ('sync_channel', 'd_ch1'), ('gate_channel', 'd_ch3'), ('microwave_channel', 'a_ch1'), ('microwave_frequency', 2628560000.0), ('microwave_amplitude', 0.24), ('rabi_period', 4.96e-08), ('laser_length', 3e-06), ('laser_delay', 5e-07), ('wait_time', 1e-06), ('analog_trigger_voltage', 0.0)]), 'pulsed_settings': {'invoke_settings': True}, 'pulsed_analysis_settings': {'signal_start': 8.042105263157894e-07, 'signal_end': 1.6042105263157894e-06, 'norm_start': 2.6989473684210524e-06, 'norm_end': 3.4989473684210524e-06, 'method': 'mean_norm'}, 'pulsed_extraction_settings_settings': {'method': 'pass_through'}}
# optimization_client_name: test_dCRAB_Noisy_2_control_fields
# opti_algorithm_module: quocslib.optimalalgorithms.dCRABNoisyAlgorithm
# opti_algorithm_class: DCrabNoisyAlgorithm
# algorithm_settings: {'algorithm_name': 'dCRAB', 'super_iteration_number': 10000000, 'FoM_goal': 1e-05, 'total_time_lim': 2880, 'compensate_drift': {'compensate_after_SI': True, 'compensate_after_minutes': 15}, 'random_number_generator': {'seed_number': 420}, 'dsm_settings': {'general_settings': {'dsm_algorithm_name': 'NelderMead', 'is_adaptive': False, 'dsm_algorithm_module': None, 'dsm_algorithm_class': None, 'parallelization': False}, 'stopping_criteria': {'time_lim': 90, 'change_based_stop': {'cbs_funct_evals': 500, 'cbs_change': 0.01}, 'total_time_lim': 2880, 'k3': 3, 'max_eval': 10000000000, 'xatol': 1e-14, 'frtol': 1e-13}}, 'algorithm_attribute': None, 'algorithm_module': None, 'algorithm_class': None, 'max_eval_total': 10000000000, 'optimization_direction': 'minimization'}
# times: [{'time_name': 'time_p', 'initial_value': 1.0000000000000001e-07}]
# pulses: [{'pulse_name': 'Amplitude', 'upper_limit': 0.25, 'lower_limit': -0.25, 'bins_number': 2000, 'time_name': 'time_p', 'amplitude_variation': 0.03096, 'basis': {'basis_name': 'Fourier', 'basis_class': 'Fourier', 'basis_module': 'quocslib.pulses.basis.Fourier', 'basis_vector_number': 2, 'random_super_parameter_distribution': {'distribution_name': 'Uniform', 'distribution_class': 'Uniform', 'distribution_module': 'quocslib.pulses.superparameter.Uniform', 'lower_limit': 0.0, 'upper_limit': 10, 'distribution_attribute': None}, 'basis_attribute': None}, 'scaling_function': {'function_type': 'lambda_function', 'lambda_function': 'lambda t: 1.0 + 0.0*t'}, 'initial_guess': {'function_type': 'list_function', 'list_function': array([0.10549502, 0.10536259, 0.10522768, ..., 0.01874905, 0.01839079,
#        0.01803488])}, 'shrink_ampl_lim': True}, {'pulse_name': 'Phase', 'upper_limit': 0.25, 'lower_limit': -0.25, 'bins_number': 2000, 'time_name': 'time_p', 'amplitude_variation': 0.03096, 'basis': {'basis_name': 'Fourier', 'basis_class': 'Fourier', 'basis_module': 'quocslib.pulses.basis.Fourier', 'basis_vector_number': 2, 'random_super_parameter_distribution': {'distribution_name': 'Uniform', 'distribution_class': 'Uniform', 'distribution_module': 'quocslib.pulses.superparameter.Uniform', 'lower_limit': 0.0, 'upper_limit': 10, 'distribution_attribute': None}, 'basis_attribute': None}, 'scaling_function': {'function_type': 'lambda_function', 'lambda_function': 'lambda t: 1.0 + 0.0*t'}, 'initial_guess': {'function_type': 'list_function', 'list_function': array([0., 0., 0., ..., 0., 0., 0.])}, 'shrink_ampl_lim': True}]
# parameters: []
# 
4.252126063031516136e-09 1.065576853251200620e-02
4.302151075537769150e-09 1.029002582980180838e-02
4.352176088044022164e-09 9.923452765090693198e-03
4.402201100550275178e-09 9.556095478182856720e-03
4.452226113056529020e-09 9.187999734941743393e-03
4.502251125562782034e-09 8.819210915396903314e-03
4.552276138069035048e-09 8.449774002429485606e-03
4.602301150575288062e-09 8.079733571043239138e-03
4.652326163081541077e-09 7.709133778226908221e-03
4.702351175587794091e-09 7.338018353414014171e-03
4.752376188094047105e-09 6.966430589545012653e-03
4.802401200600300947e-09 6.594413334736633735e-03
4.852426213106553961e-09 6.222008984562788295e-03
4.902451225612806975e-09 5.849259474950537982e-03
4.952476238119059989e-09 5.476206275694606856e-03
5.002501250625313003e-09 5.102890384593094901e-03
5.052526263131566018e-09 4.729352322206599110e-03
5.102551275637819032e-09 4.355632127242679841e-03
5.152576288144072046e-09 3.981769352566612644e-03
5.202601300650325888e-09 3.607803061839643787e-03
5.252626313156578902e-09 3.233771826784507045e-03
5.302651325662831916e-09 2.859713725078123683e-03
5.352676338169084930e-09 2.485666338871100976e-03
5.402701350675337944e-09 2.111666753931895537e-03
5.452726363181590959e-09 1.737751559414816606e-03
5.502751375687843973e-09 1.363956848248975770e-03
5.552776388194097814e-09 9.903182181456265769e-04
5.602801400700350829e-09 6.168707732206006600e-04
5.652826413206603843e-09 2.436491262279962336e-04
5.702851425712856857e-09 -1.293125985989697878e-04
5.752876438219109871e-09 -5.019807621049572274e-04
5.802901450725362886e-09 -8.743222061723325382e-04
5.852926463231615900e-09 -1.246304249089873889e-03
5.902951475737869741e-09 -1.617894680336156264e-03
5.952976488244122755e-09 -1.989061754784689912e-03
6.003001500750375770e-09 -2.359774186337832997e-03
6.053026513256628784e-09 -2.730001140997064413e-03
6.103051525762881798e-09 -3.099712229377701422e-03
6.153076538269134812e-09 -3.468877498676702347e-03
6.203101550775387827e-09 -3.837467424102626937e-03
6.253126563281641668e-09 -4.205452899776885092e-03
6.303151575787894682e-09 -4.572805229116488901e-03
6.353176588294147696e-09 -4.939496114708615687e-03
6.403201600800400711e-09 -5.305497647687300658e-03
6.453226613306653725e-09 -5.670782296624094290e-03
6.503251625812906739e-09 -6.035322895943683041e-03
6.553276638319159753e-09 -6.399092633876711858e-03
6.603301650825413595e-09 -6.762065039962147570e-03
6.653326663331666609e-09 -7.124213972111899558e-03
6.703351675837919623e-09 -7.485513603250807876e-03
6.753376688344172637e-09 -7.845938407545643284e-03
6.803401700850425652e-09 -8.205463146236657845e-03
6.853426713356678666e-09 -8.564062853086286398e-03
6.903451725862931680e-09 -8.921712819459229685e-03
6.953476738369185522e-09 -9.278388579048967022e-03
7.003501750875438536e-09 -9.634065892265668285e-03
7.053526763381691550e-09 -9.988720730301332840e-03
7.103551775887944564e-09 -1.034232925888776272e-02
7.153576788394197578e-09 -1.069486782176319595e-02
7.203601800900450593e-09 -1.104631292386452739e-02
7.253626813406703607e-09 -1.139664121426122237e-02
7.303651825912957448e-09 -1.174582946884803608e-02
7.353676838419210463e-09 -1.209385457281354596e-02
7.403701850925463477e-09 -1.244069350290190855e-02
7.453726863431715664e-09 -1.278632330948541868e-02
7.503751875937970332e-09 -1.313072109846542129e-02
7.553776888444223347e-09 -1.347386401301977135e-02
7.603801900950476361e-09 -1.381572921521480313e-02
7.653826913456729375e-09 -1.415629386750020570e-02
7.703851925962982389e-09 -1.449553511410514584e-02
7.753876938469235404e-09 -1.483343006235425705e-02
7.803901950975488418e-09 -1.516995576392221601e-02
7.853926963481741432e-09 -1.550508919604578345e-02
7.903951975987994446e-09 -1.583880724271202745e-02
7.953976988494247460e-09 -1.617108667584199119e-02
8.004002001000500475e-09 -1.650190413648879723e-02
8.054027013506753489e-09 -1.683123611606908432e-02
8.104052026013006503e-09 -1.715905893764743673e-02
8.154077038519259517e-09 -1.748534873729255812e-02
8.204102051025514186e-09 -1.781008144552474748e-02
8.254127063531767200e-09 -1.813323276887365831e-02
8.304152076038020214e-09 -1.845477817156589498e-02
8.354177088544273229e-09 -1.877469285736122623e-02
8.404202101050526243e-09 -1.909295175155703919e-02
8.454227113556779257e-09 -1.940952948317966123e-02
8.504252126063032271e-09 -1.972440036738223879e-02
8.554277138569285286e-09 -2.003753838806730803e-02
8.604302151075538300e-09 -2.034891718075378803e-02
8.654327163581791314e-09 -2.065851001570656598e-02
8.704352176088044328e-09 -2.096628978134768700e-02
8.754377188594297342e-09 -2.127222896796732501e-02
8.804402201100550357e-09 -2.157629965175331122e-02
8.854427213606803371e-09 -2.187847347915712962e-02
8.904452226113058040e-09 -2.217872165161445877e-02
8.954477238619311054e-09 -2.247701491063822804e-02
9.004502251125564068e-09 -2.277332352330175072e-02
9.054527263631817082e-09 -2.306761726812939228e-02
9.104552276138070096e-09 -2.335986542141185035e-02
9.154577288644323111e-09 -2.365003674396338323e-02
9.204602301150576125e-09 -2.393809946833708180e-02
9.254627313656829139e-09 -2.422402128651526473e-02
9.304652326163082153e-09 -2.450776933809079017e-02
9.354677338669335168e-09 -2.478931019895523960e-02
9.404702351175588182e-09 -2.506860987050953116e-02
9.454727363681841196e-09 -2.534563376941238039e-02
9.504752376188094210e-09 -2.562034671788120457e-02
9.554777388694347225e-09 -2.589271293456044468e-02
9.604802401200601893e-09 -2.616269602597131802e-02
9.654827413706854907e-09 -2.643025897855677542e-02
9.704852426213107922e-09 -2.669536415133562379e-02
9.754877438719360936e-09 -2.695797326917834247e-02
9.804902451225613950e-09 -2.721804741671783601e-02
9.854927463731866964e-09 -2.747554703290713135e-02
9.904952476238119978e-09 -2.773043190623609641e-02
9.954977488744372993e-09 -2.798266117061858765e-02
1.000500250125062601e-08 -2.823219330196113930e-02
1.005502751375687902e-08 -2.847898611542370312e-02
1.010505252626313204e-08 -2.872299676338282287e-02
1.015507753876938505e-08 -2.896418173410672189e-02
1.020510255127563806e-08 -2.920249685115150831e-02
1.025512756378189108e-08 -2.943789727348761209e-02
1.030515257628814409e-08 -2.967033749636423592e-02
1.035517758879439876e-08 -2.989977135292005289e-02
1.040520260130065178e-08 -3.012615201654690600e-02
1.045522761380690479e-08 -3.034943200401402780e-02
1.050525262631315780e-08 -3.056956317935807799e-02
1.055527763881941082e-08 -3.078649675854570889e-02
1.060530265132566383e-08 -3.100018331491320028e-02
1.065532766383191685e-08 -3.121057278538801744e-02
1.070535267633816986e-08 -3.141761447749655267e-02
1.075537768884442287e-08 -3.162125707716163109e-02
1.080540270135067589e-08 -3.182144865729256977e-02
1.085542771385692890e-08 -3.201813668717073957e-02
1.090545272636318192e-08 -3.221126804263216986e-02
1.095547773886943493e-08 -3.240078901704879222e-02
1.100550275137568795e-08 -3.258664533310907940e-02
1.105552776388194261e-08 -3.276878215539842654e-02
1.110555277638819563e-08 -3.294714410377885816e-02
1.115557778889444864e-08 -3.312167526756717995e-02
1.120560280140070166e-08 -3.329231922051031217e-02
1.125562781390695467e-08 -3.345901903655550125e-02
1.130565282641320769e-08 -3.362171730641310557e-02
1.135567783891946070e-08 -3.378035615490843774e-02
1.140570285142571371e-08 -3.393487725911938785e-02
1.145572786393196673e-08 -3.408522186729508185e-02
1.150575287643821974e-08 -3.423133081855067594e-02
1.155577788894447276e-08 -3.437314456333351309e-02
1.160580290145072577e-08 -3.451060318465337673e-02
1.165582791395697879e-08 -3.464364642007138062e-02
1.170585292646323180e-08 -3.477221368443978583e-02
1.175587793896948647e-08 -3.489624409338500793e-02
1.180590295147573948e-08 -3.501567648752533513e-02
1.185592796398199250e-08 -3.513044945741515546e-02
1.190595297648824551e-08 -3.524050136920536119e-02
1.195597798899449852e-08 -3.534577039101068768e-02
1.200600300150075154e-08 -3.544619451997280124e-02
1.205602801400700455e-08 -3.554171161000883178e-02
1.210605302651325757e-08 -3.563225940023286714e-02
1.215607803901951058e-08 -3.571777554403884197e-02
1.220610305152576360e-08 -3.579819763883197725e-02
1.225612806403201661e-08 -3.587346325639544087e-02
1.230615307653826962e-08 -3.594350997387856655e-02
1.235617808904452264e-08 -3.600827540539237176e-02
1.240620310155077565e-08 -3.606769723419785134e-02
1.245622811405703032e-08 -3.612171324547123336e-02
1.250625312656328334e-08 -3.617026135963101463e-02
1.255627813906953635e-08 -3.621327966621053912e-02
1.260630315157578936e-08 -3.625070645825878568e-02
1.265632816408204238e-08 -3.628248026725296171e-02
1.270635317658829539e-08 -3.630853989850508362e-02
1.275637818909454841e-08 -3.632882446704408658e-02
1.280640320160080142e-08 -3.634327343395548499e-02
1.285642821410705444e-08 -3.635182664315933510e-02
1.290645322661330745e-08 -3.635442435860718191e-02
1.295647823911956046e-08 -3.635100730187881823e-02
1.300650325162581348e-08 -3.634151669015740077e-02
1.305652826413206649e-08 -3.632589427456380665e-02
1.310655327663831951e-08 -3.630408237882867123e-02
1.315657828914457252e-08 -3.627602393828062433e-02
1.320660330165082719e-08 -3.624166253912965152e-02
1.325662831415708020e-08 -3.620094245802325805e-02
1.330665332666333322e-08 -3.615380870185321699e-02
1.335667833916958623e-08 -3.610020704779060008e-02
1.340670335167583925e-08 -3.604008408352551984e-02
1.345672836418209226e-08 -3.597338724768922580e-02
1.350675337668834527e-08 -3.590006487043468503e-02
1.355677838919459829e-08 -3.582006621415170788e-02
1.360680340170085130e-08 -3.573334151429318623e-02
1.365682841420710432e-08 -3.563984202028790127e-02
1.370685342671335733e-08 -3.553952003651548314e-02
1.375687843921961035e-08 -3.543232896331921511e-02
1.380690345172586336e-08 -3.531822333803144587e-02
1.385692846423211637e-08 -3.519715887598685866e-02
1.390695347673837104e-08 -3.506909251149866596e-02
1.395697848924462406e-08 -3.493398243877195164e-02
1.400700350175087707e-08 -3.479178815272913200e-02
1.405702851425713009e-08 -3.464247048972179943e-02
1.410705352676338310e-08 -3.448599166810355915e-02
1.415707853926963611e-08 -3.432231532863769946e-02
1.420710355177588913e-08 -3.415140657471426450e-02
1.425712856428214214e-08 -3.397323201235089019e-02
1.430715357678839516e-08 -3.378775978995047363e-02
1.435717858929464817e-08 -3.359495963779147998e-02
1.440720360180090119e-08 -3.339480290722310341e-02
1.445722861430715420e-08 -3.318726260954079493e-02
1.450725362681340721e-08 -3.297231345451558798e-02
1.455727863931966023e-08 -3.274993188855145065e-02
1.460730365182591490e-08 -3.252009613244518510e-02
1.465732866433216791e-08 -3.228278621872258947e-02
1.470735367683842093e-08 -3.203798402852590932e-02
1.475737868934467394e-08 -3.178567332802671036e-02
1.480740370185092695e-08 -3.152583980433835281e-02
1.485742871435717997e-08 -3.125847110090392011e-02
1.490745372686343133e-08 -3.098355685233332782e-02
1.495747873936968600e-08 -3.070108871866512532e-02
1.500750375187594066e-08 -3.041106041902845794e-02
1.505752876438219202e-08 -3.011346776468029965e-02
1.510755377688844669e-08 -2.980830869139346889e-02
1.515757878939469805e-08 -2.949558329117180772e-02
1.520760380190095272e-08 -2.917529384326800201e-02
1.525762881440720408e-08 -2.884744484448125562e-02
1.530765382691345875e-08 -2.851204303871013312e-02
1.535767883941971011e-08 -2.816909744573933838e-02
1.540770385192596478e-08 -2.781861938923570893e-02
1.545772886443221614e-08 -2.746062252393267206e-02
1.550775387693847081e-08 -2.709512286197978195e-02
1.555777888944472217e-08 -2.672213879843671550e-02
1.560780390195097684e-08 -2.634169113588900879e-02
1.565782891445723150e-08 -2.595380310816602226e-02
1.570785392696348286e-08 -2.555850040313911026e-02
1.575787893946973753e-08 -2.515581118458090279e-02
1.580790395197598889e-08 -2.474576611306499030e-02
1.585792896448224356e-08 -2.432839836588741866e-02
1.590795397698849492e-08 -2.390374365599049616e-02
1.595797898949474959e-08 -2.347184024987054862e-02
1.600800400200100095e-08 -2.303272898445223732e-02
1.605802901450725562e-08 -2.258645328291063875e-02
1.610805402701350698e-08 -2.213305916942561943e-02
1.615807903951976165e-08 -2.167259528285065198e-02
1.620810405202601301e-08 -2.120511288928099425e-02
1.625812906453226767e-08 -2.073066589350517144e-02
1.630815407703851903e-08 -2.024931084932522080e-02
1.635817908954477370e-08 -1.976110696873104727e-02
1.640820410205102837e-08 -1.926611612991548442e-02
1.645822911455727973e-08 -1.876440288411606802e-02
1.650825412706353440e-08 -1.825603446127168836e-02
1.655827913956978576e-08 -1.774108077448179749e-02
1.660830415207604043e-08 -1.721961442325599390e-02
1.665832916458229179e-08 -1.669171069554453019e-02
1.670835417708854646e-08 -1.615744756853799979e-02
1.675837918959479782e-08 -1.561690570822784133e-02
1.680840420210105249e-08 -1.507016846771744301e-02
1.685842921460730385e-08 -1.451732188427721192e-02
1.690845422711355851e-08 -1.395845467513354490e-02
1.695847923961980987e-08 -1.339365823198732965e-02
1.700850425212606454e-08 -1.282302661425312532e-02
1.705852926463231590e-08 -1.224665654101557595e-02
1.710855427713857057e-08 -1.166464738169558681e-02
1.715857928964482524e-08 -1.107710114542451683e-02
1.720860430215107660e-08 -1.048412246912063320e-02
1.725862931465733127e-08 -9.885818604265574419e-03
1.730865432716358263e-08 -9.282299402379127345e-03
1.735867933966983730e-08 -8.673677299189632567e-03
1.740870435217608866e-08 -8.060067297499959316e-03
1.745872936468234333e-08 -7.441586948748189420e-03
1.750875437718859468e-08 -6.818356333264509114e-03
1.755877938969484935e-08 -6.190498039223912320e-03
1.760880440220110071e-08 -5.558137140298606386e-03
1.765882941470735538e-08 -4.921401172010880093e-03
1.770885442721360674e-08 -4.280420106791439465e-03
1.775887943971986141e-08 -3.635326327745552408e-03
1.780890445222611608e-08 -2.986254601133537297e-03
1.785892946473236744e-08 -2.333342047569712460e-03
1.790895447723862211e-08 -1.676728111946365098e-03
1.795897948974487347e-08 -1.016554532090264019e-03
1.800900450225112814e-08 -3.529653061582686650e-04
1.805902951475737950e-08 3.138933412187286040e-04
1.810905452726363416e-08 9.838729940353776668e-04
1.815907953976988552e-08 1.656823081244207952e-03
1.820910455227614019e-08 2.332590914311500480e-03
1.825912956478239155e-08 3.011021725984558504e-03
1.830915457728864622e-08 3.691958710259480962e-03
1.835917958979489758e-08 4.375243063535828522e-03
1.840920460230115225e-08 5.060714026946735652e-03
1.845922961480740361e-08 5.748208929848596868e-03
1.850925462731365828e-08 6.437563234457487592e-03
1.855927963981991295e-08 7.128610581616456887e-03
1.860930465232616431e-08 7.821182837677593397e-03
1.865932966483241898e-08 8.515110142483271055e-03
1.870935467733867034e-08 9.210220958428418092e-03
1.875937968984492500e-08 9.906342120587080524e-03
1.880940470235117636e-08 1.060329888788389893e-02
1.885942971485743103e-08 1.130091499529235592e-02
1.890945472736368239e-08 1.199901270703970270e-02
1.895947973986993706e-08 1.269741287079862412e-02
1.900950475237618842e-08 1.339593497284433804e-02
1.905952976488244309e-08 1.409439719415669923e-02
1.910955477738869445e-08 1.479261646744414391e-02
1.915957978989494912e-08 1.549040853506820914e-02
1.920960480240120379e-08 1.618758800784420027e-02
1.925962981490745515e-08 1.688396842469582285e-02
1.930965482741370981e-08 1.757936231313858566e-02
1.935967983991996117e-08 1.827358125056758806e-02
1.940970485242621584e-08 1.896643592632497183e-02
1.945972986493246720e-08 1.965773620452057960e-02
1.950975487743872187e-08 2.034729118758064545e-02
1.955977988994497323e-08 2.103490928049679687e-02
1.960980490245122790e-08 2.172039825574964556e-02
1.965982991495747926e-08 2.240356531887795905e-02
1.970985492746373393e-08 2.308421717466712167e-02
1.975987993996998529e-08 2.376216009392673190e-02
1.980990495247623996e-08 2.443719998083073580e-02
1.985992996498249132e-08 2.510914244078863572e-02
1.990995497748874599e-08 2.577779284882060137e-02
1.995997998999500065e-08 2.644295641840455763e-02
2.001000500250125201e-08 2.710443827076656695e-02
2.006003001500750668e-08 2.776204350458362155e-02
