# timestamp: 2022/07/26-21:43:47
# script_parameters: {'runtime_per_epoch': 40, 'readout_noise': 0.014142135623730952, 'length_oc': 9.900000000000001e-08, 'is_noisy': True, 'generate_parameters': {'name': 'oc_nrep', 'n_start': 1, 'n_step': 1, 'num_of_points': 8, 'filename_amplitude': 'on_nv=2_amplitude.txt', 'filename_phase': 'on_nv=2_phase.txt', 'folder_path': 'C:\\Software\\qudi_data\\optimal_control_assets', 't_gap': 1.1904761904761904e-07, 'vs_rect_pulse': False, 'alternating': True, 'experiment': 'oc_nrep'}, 'fom_function': <function add_penalty_freq_bandstop.<locals>.extend_fom at 0x000000F4B6A572F0>, 'pulsed_generation_params': OrderedDict([('laser_channel', 'd_ch4'), ('sync_channel', 'd_ch1'), ('gate_channel', 'd_ch3'), ('microwave_channel', 'a_ch1'), ('microwave_frequency', 2628560000.0), ('microwave_amplitude', 0.24), ('rabi_period', 4.96e-08), ('laser_length', 3e-06), ('laser_delay', 5e-07), ('wait_time', 1e-06), ('analog_trigger_voltage', 0.0)]), 'pulsed_settings': {'invoke_settings': True}, 'pulsed_analysis_settings': {'signal_start': 8.042105263157894e-07, 'signal_end': 1.6042105263157894e-06, 'norm_start': 2.6989473684210524e-06, 'norm_end': 3.4989473684210524e-06, 'method': 'mean_norm'}, 'pulsed_extraction_settings_settings': {'method': 'pass_through'}}
# optimization_client_name: test_dCRAB_Noisy_2_control_fields
# opti_algorithm_module: quocslib.optimalalgorithms.dCRABNoisyAlgorithm
# opti_algorithm_class: DCrabNoisyAlgorithm
# algorithm_settings: {'algorithm_name': 'dCRAB', 'super_iteration_number': 10000000, 'FoM_goal': 1e-05, 'total_time_lim': 2880, 'compensate_drift': {'compensate_after_SI': True, 'compensate_after_minutes': 15}, 'random_number_generator': {'seed_number': 420}, 'dsm_settings': {'general_settings': {'dsm_algorithm_name': 'NelderMead', 'is_adaptive': False, 'dsm_algorithm_module': None, 'dsm_algorithm_class': None, 'parallelization': False}, 'stopping_criteria': {'time_lim': 90, 'change_based_stop': {'cbs_funct_evals': 500, 'cbs_change': 0.01}, 'total_time_lim': 2880, 'k3': 3, 'max_eval': 10000000000, 'xatol': 1e-14, 'frtol': 1e-13}}, 'algorithm_attribute': None, 'algorithm_module': None, 'algorithm_class': None, 'max_eval_total': 10000000000, 'optimization_direction': 'minimization'}
# times: [{'time_name': 'time_p', 'initial_value': 1.0000000000000001e-07}]
# pulses: [{'pulse_name': 'Amplitude', 'upper_limit': 0.25, 'lower_limit': -0.25, 'bins_number': 2000, 'time_name': 'time_p', 'amplitude_variation': 0.03096, 'basis': {'basis_name': 'Fourier', 'basis_class': 'Fourier', 'basis_module': 'quocslib.pulses.basis.Fourier', 'basis_vector_number': 2, 'random_super_parameter_distribution': {'distribution_name': 'Uniform', 'distribution_class': 'Uniform', 'distribution_module': 'quocslib.pulses.superparameter.Uniform', 'lower_limit': 0.0, 'upper_limit': 10, 'distribution_attribute': None}, 'basis_attribute': None}, 'scaling_function': {'function_type': 'lambda_function', 'lambda_function': 'lambda t: 1.0 + 0.0*t'}, 'initial_guess': {'function_type': 'list_function', 'list_function': array([0.10549502, 0.10536259, 0.10522768, ..., 0.01874905, 0.01839079,
#        0.01803488])}, 'shrink_ampl_lim': True}, {'pulse_name': 'Phase', 'upper_limit': 0.25, 'lower_limit': -0.25, 'bins_number': 2000, 'time_name': 'time_p', 'amplitude_variation': 0.03096, 'basis': {'basis_name': 'Fourier', 'basis_class': 'Fourier', 'basis_module': 'quocslib.pulses.basis.Fourier', 'basis_vector_number': 2, 'random_super_parameter_distribution': {'distribution_name': 'Uniform', 'distribution_class': 'Uniform', 'distribution_module': 'quocslib.pulses.superparameter.Uniform', 'lower_limit': 0.0, 'upper_limit': 10, 'distribution_attribute': None}, 'basis_attribute': None}, 'scaling_function': {'function_type': 'lambda_function', 'lambda_function': 'lambda t: 1.0 + 0.0*t'}, 'initial_guess': {'function_type': 'list_function', 'list_function': array([0., 0., 0., ..., 0., 0., 0.])}, 'shrink_ampl_lim': True}]
# parameters: []
# 
4.252126063031516136e-09 6.157362588040785761e-02
4.302151075537769150e-09 6.147687535016541083e-02
4.352176088044022164e-09 6.137633640680849323e-02
4.402201100550275178e-09 6.127185484064203574e-02
4.452226113056529020e-09 6.116327856421593934e-02
4.502251125562782034e-09 6.105045766527496254e-02
4.552276138069035048e-09 6.093324445888994439e-02
4.602301150575288062e-09 6.081149353875836550e-02
4.652326163081541077e-09 6.068506182766221502e-02
4.702351175587794091e-09 6.055380862707038930e-02
4.752376188094047105e-09 6.041759566587449892e-02
4.802401200600300947e-09 6.027628714824509459e-02
4.852426213106553961e-09 6.012974980059754976e-02
4.902451225612806975e-09 5.997785291765504734e-02
4.952476238119059989e-09 5.982046840759756845e-02
5.002501250625313003e-09 5.965747083628519104e-02
5.052526263131566018e-09 5.948873747054424233e-02
5.102551275637819032e-09 5.931414832050486974e-02
5.152576288144072046e-09 5.913358618097901143e-02
5.202601300650325888e-09 5.894693667186755304e-02
5.252626313156578902e-09 5.875408827758559632e-02
5.302651325662831916e-09 5.855493238549468182e-02
5.352676338169084930e-09 5.834936332333147402e-02
5.402701350675337944e-09 5.813727839562204958e-02
5.452726363181590959e-09 5.791857791907070729e-02
5.502751375687843973e-09 5.769316525691326608e-02
5.552776388194097814e-09 5.746094685222431775e-02
5.602801400700350829e-09 5.722183226016740176e-02
5.652826413206603843e-09 5.697573417917892180e-02
5.702851425712856857e-09 5.672256848107470190e-02
5.752876438219109871e-09 5.646225424006974525e-02
5.802901450725362886e-09 5.619471376070052371e-02
5.852926463231615900e-09 5.591987260464117981e-02
5.902951475737869741e-09 5.563765961640260160e-02
5.952976488244122755e-09 5.534800694790571740e-02
6.003001500750375770e-09 5.505085008191926838e-02
6.053026513256628784e-09 5.474612785435246931e-02
6.103051525762881798e-09 5.443378247539379378e-02
6.153076538269134812e-09 5.411375954948687006e-02
6.203101550775387827e-09 5.378600809413405792e-02
6.253126563281641668e-09 5.345048055751942806e-02
6.303151575787894682e-09 5.310713283494257475e-02
6.353176588294147696e-09 5.275592428405451867e-02
6.403201600800400711e-09 5.239681773888791444e-02
6.453226613306653725e-09 5.202977952267296563e-02
6.503251625812906739e-09 5.165477945943144911e-02
6.553276638319159753e-09 5.127179088434154208e-02
6.603301650825413595e-09 5.088079065286496561e-02
6.653326663331666609e-09 5.048175914863019947e-02
6.703351675837919623e-09 5.007468029006423293e-02
6.753376688344172637e-09 4.965954153576575270e-02
6.803401700850425652e-09 4.923633388861380772e-02
6.853426713356678666e-09 4.880505189860486620e-02
6.903451725862931680e-09 4.836569366441263035e-02
6.953476738369185522e-09 4.791826083366470396e-02
7.003501750875438536e-09 4.746275860193018697e-02
7.053526763381691550e-09 4.699919571041317329e-02
7.103551775887944564e-09 4.652758444234685042e-02
7.153576788394197578e-09 4.604794061808387823e-02
7.203601800900450593e-09 4.556028358887790480e-02
7.253626813406703607e-09 4.506463622935309721e-02
7.303651825912957448e-09 4.456102492865635090e-02
7.353676838419210463e-09 4.404947958029047789e-02
7.403701850925463477e-09 4.353003357062391887e-02
7.453726863431715664e-09 4.300272376607447433e-02
7.503751875937970332e-09 4.246759049896527138e-02
7.553776888444223347e-09 4.192467755204969809e-02
7.603801900950476361e-09 4.137403214170485427e-02
7.653826913456729375e-09 4.081570489979155503e-02
7.703851925962982389e-09 4.024974985417988788e-02
7.753876938469235404e-09 3.967622440794051075e-02
7.803901950975488418e-09 3.909518931720067092e-02
7.853926963481741432e-09 3.850670866766642275e-02
7.903951975987994446e-09 3.791084984981073908e-02
7.953976988494247460e-09 3.730768353272984061e-02
8.004002001000500475e-09 3.669728363666854148e-02
8.054027013506753489e-09 3.607972730421741409e-02
8.104052026013006503e-09 3.545509487018425748e-02
8.154077038519259517e-09 3.482346983014298486e-02
8.204102051025514186e-09 3.418493880766371174e-02
8.254127063531767200e-09 3.353959152022778500e-02
8.304152076038020214e-09 3.288752074383347740e-02
8.354177088544273229e-09 3.222882227629620538e-02
8.404202101050526243e-09 3.156359489925005674e-02
8.454227113556779257e-09 3.089194033885624829e-02
