# Averages are calculated from the values at the same angle. 
#  This means that refl/trans is not necessary equal to reflection / tranmission. 
#  green (532nm) laser: angle [degree], reflection [mW], transmission [mW], relf/trans
0.000000000000000000e+00 1.150352121600000110e+00 9.557451961800000007e+00 1.203697991945286150e-01
1.000000000000000000e+00 1.184120315999999784e+00 9.551886025200001740e+00 1.239760046638853364e-01
2.000000000000000000e+00 1.190247614799999853e+00 9.535184393800001601e+00 1.248326093780121604e-01
3.000000000000000000e+00 1.164835831600000038e+00 9.533095585999999955e+00 1.222034624072616676e-01
4.000000000000000000e+00 1.135511375199999895e+00 9.549101873000001461e+00 1.189194933652730352e-01
5.000000000000000000e+00 1.105771865999999548e+00 9.587375448600001349e+00 1.153442832149720043e-01
6.000000000000000000e+00 1.085787087599999756e+00 9.593638239000000567e+00 1.131870595846162925e-01
7.000000000000000000e+00 1.072958712599999753e+00 9.618690461400005276e+00 1.115553940635567176e-01
8.000000000000000000e+00 1.060400311200000001e+00 9.615211748400000147e+00 1.102900071329723231e-01
9.000000000000000000e+00 1.050390957599999897e+00 9.629130271000001073e+00 1.090918407588280931e-01
1.000000000000000000e+01 1.041687154599999943e+00 9.617995825399999532e+00 1.083135750050141094e-01
1.100000000000000000e+01 1.029373756199999601e+00 9.636088871200000128e+00 1.068334124713400668e-01
1.200000000000000000e+01 1.020371773599999976e+00 9.635392018000001002e+00 1.059052440561541741e-01
1.300000000000000000e+01 1.016340684400000027e+00 9.658358265200000403e+00 1.052347801228730728e-01
1.400000000000000000e+01 1.013418480000000343e+00 9.642353823000002322e+00 1.051093204263798819e-01
1.500000000000000000e+01 1.015039157200000153e+00 9.635393639600000171e+00 1.053517405909016047e-01
1.600000000000000000e+01 1.025445010000000323e+00 9.636785686999999712e+00 1.064180654353067135e-01
1.700000000000000000e+01 1.035307629200000079e+00 9.613123573800002930e+00 1.077054524369074062e-01
1.800000000000000000e+01 1.045171867599999915e+00 9.622868189599996569e+00 1.086250277877853776e-01
1.900000000000000000e+01 1.051502288400000040e+00 9.594335129600001011e+00 1.096036437784468215e-01
2.000000000000000000e+01 1.061782438199999845e+00 9.603381866799999500e+00 1.105690505590671419e-01
2.100000000000000000e+01 1.074221552999999663e+00 9.574153220800003083e+00 1.122057646284294052e-01
2.200000000000000000e+01 1.087547978999999776e+00 9.572762141800005509e+00 1.136160379170699786e-01
2.300000000000000000e+01 1.104327673599999837e+00 9.558843673999996682e+00 1.155373177018473863e-01
2.400000000000000000e+01 1.122446077000000209e+00 9.525441828799998234e+00 1.178451011765407758e-01
2.500000000000000000e+01 1.143143321800000001e+00 9.549101891800003017e+00 1.197174516527241134e-01
2.600000000000000000e+01 1.163203844999999736e+00 9.500389511599999892e+00 1.224456152644457091e-01
2.700000000000000000e+01 1.183093577199999968e+00 9.498997538399999385e+00 1.245588101947215226e-01
2.800000000000000000e+01 1.204313058799999725e+00 9.469074031999999974e+00 1.271898275292889235e-01
2.900000000000000000e+01 1.231804848000000341e+00 9.430796934399996445e+00 1.306231164309106241e-01
3.000000000000000000e+01 1.258677770399999840e+00 9.432188964200001635e+00 1.334520206894057870e-01
3.100000000000000000e+01 1.285346729800000087e+00 9.386259785800000088e+00 1.369507608653547925e-01
3.200000000000000000e+01 1.315458572799999448e+00 9.377906883999997945e+00 1.402775145752642172e-01
3.300000000000000000e+01 1.348811756200000156e+00 9.371644484199999070e+00 1.439347099155935394e-01
3.400000000000000000e+01 1.378476248800000192e+00 9.345200307600002532e+00 1.475148905641835151e-01
3.500000000000000000e+01 1.409593068400000204e+00 9.309013972999998998e+00 1.514342983019852373e-01
3.600000000000000000e+01 1.435256256200000191e+00 9.286745473399999895e+00 1.545581594428999950e-01
3.700000000000000000e+01 1.461416709800000158e+00 9.273524529800001304e+00 1.575987509981380819e-01
3.800000000000000000e+01 1.485903329000000106e+00 9.261694329999999198e+00 1.604459122521549597e-01
3.900000000000000000e+01 1.506323327199999840e+00 9.244296273599998059e+00 1.629566566062641275e-01
4.000000000000000000e+01 1.528451053399999982e+00 9.233162200799997166e+00 1.655462463534117801e-01
4.100000000000000000e+01 1.552695070600000227e+00 9.205326234999995805e+00 1.686830308694712288e-01
4.200000000000000000e+01 1.575627094000000783e+00 9.204629717999996075e+00 1.711943658559165748e-01
4.300000000000000000e+01 1.603337282199999825e+00 9.180272391199997273e+00 1.746610470966901418e-01
4.400000000000000000e+01 1.625577025399999265e+00 9.180967232199996886e+00 1.770671880349671268e-01
4.500000000000000000e+01 1.652374175199999851e+00 9.152435793799995167e+00 1.805532086083486143e-01
4.600000000000000000e+01 1.666633871399999967e+00 9.119727819199995977e+00 1.827654346848821831e-01
4.700000000000000000e+01 1.691793377600000925e+00 9.129470496599997986e+00 1.853228979655307251e-01
4.800000000000000000e+01 1.715976186600000730e+00 9.099546971999998846e+00 1.885901616433890982e-01
4.900000000000000000e+01 1.737925785399999645e+00 9.080757539199998618e+00 1.914008893304994241e-01
5.000000000000000000e+01 1.757349671800000790e+00 9.050834964399994576e+00 1.941882093376649798e-01
5.100000000000000000e+01 1.772228290600000422e+00 9.055706228200000041e+00 1.957148221248403985e-01
5.200000000000000000e+01 1.786663749200000151e+00 9.080061934399996204e+00 1.967807436902913043e-01
5.300000000000000000e+01 1.797097212400000865e+00 9.049442935400000110e+00 1.986018250723333989e-01
5.400000000000000000e+01 1.805387903200000643e+00 9.052227627200000626e+00 1.994528197039386053e-01
5.500000000000000000e+01 1.809177729799998913e+00 9.052922803599997792e+00 1.998563004993322012e-01
