#Voltage(V),Current(A)
-8.694000000000013, -7.5447718473e-07
-8.693900000000014, -7.1078886776e-07
-8.693800000000014, -7.4812442108e-07
-8.693700000000014, -6.7505709467e-07
-8.693600000000014, -6.7384303293e-07
-8.693500000000014, -6.8567231892e-07
-8.693400000000015, -6.3886068347e-07
-8.693300000000015, -6.8442147949e-07
-8.693200000000015, -6.4773303166e-07
-8.693100000000015, -5.9830557575e-07
-8.693000000000016, -6.4052761672e-07
-8.692900000000016, -6.3680289486e-07
-8.692800000000016, -6.5265220428e-07
-8.692700000000016, -6.1346997882e-07
-8.692600000000017, -6.0005197611e-07
-8.692500000000017, -5.8021117866e-07
-8.692400000000017, -6.0181992012e-07
-8.692300000000017, -5.6602550558e-07
-8.692200000000017, -5.4702519492e-07
-8.692100000000018, -5.4849954267e-07
-8.692000000000018, -5.5716475345e-07
-8.691900000000018, -5.7509726048e-07
-8.691800000000018, -5.9456590407e-07
-8.691700000000019, -5.3155378055e-07
-8.691600000000019, -4.880994311e-07
-8.691500000000019, -5.0815242503e-07
-8.69140000000002, -5.2417971119e-07
-8.69130000000002, -5.4377153447e-07
-8.69120000000002, -5.0171900057e-07
-8.69110000000002, -4.8954291287e-07
-8.69100000000002, -5.2450775456e-07
-8.69090000000002, -5.129510896e-07
-8.69080000000002, -5.0313866495e-07
-8.690700000000021, -4.5829798978e-07
-8.690600000000021, -4.8788206186e-07
-8.690500000000021, -4.4766738938e-07
-8.690400000000022, -4.4704262336e-07
-8.690300000000022, -4.6763338446e-07
-8.690200000000022, -4.521275514e-07
-8.690100000000022, -4.2541930156e-07
-8.690000000000023, -4.6255269126e-07
-8.689900000000023, -4.459697891e-07
-8.689800000000023, -4.3913144054e-07
-8.689700000000023, -3.8514633616e-07
-8.689600000000024, -4.1961069996e-07
-8.689500000000024, -3.9863724055e-07
-8.689400000000024, -3.9965746623e-07
-8.689300000000024, -4.1245056082e-07
-8.689200000000024, -3.9466237922e-07
-8.689100000000025, -3.9342901914e-07
-8.689000000000025, -4.0538785129e-07
-8.688900000000025, -3.8996657281e-07
-8.688800000000025, -3.9684127273e-07
-8.688700000000026, -3.7915981466e-07
-8.688600000000026, -3.6678625293e-07
-8.688500000000026, -3.6763788103e-07
-8.688400000000026, -3.7719874513e-07
-8.688300000000027, -3.5701307866e-07
-8.688200000000027, -3.5055310832e-07
-8.688100000000027, -3.5234322127e-07
-8.688000000000027, -3.4769323065e-07
-8.687900000000027, -3.391055543e-07
-8.687800000000028, -3.5267774479e-07
-8.687700000000028, -3.269718718e-07
-8.687600000000028, -3.1804540868e-07
-8.687500000000028, -3.1994724736e-07
-8.687400000000029, -2.9847055316e-07
-8.687300000000029, -3.1720463767e-07
-8.68720000000003, -3.0894128145e-07
-8.68710000000003, -3.0034041743e-07
-8.68700000000003, -2.8745324698e-07
-8.68690000000003, -2.9582517413e-07
-8.68680000000003, -2.9853961792e-07
-8.68670000000003, -2.5950274107e-07
-8.68660000000003, -2.7042233341e-07
-8.68650000000003, -2.7266608527e-07
-8.686400000000031, -2.8064715707e-07
-8.686300000000031, -2.9058116979e-07
-8.686200000000031, -2.5686850336e-07
-8.686100000000032, -2.6620980975e-07
-8.686000000000032, -2.7864658136e-07
-8.685900000000032, -2.8414132203e-07
-8.685800000000032, -2.8342347491e-07
-8.685700000000033, -2.3886349254e-07
-8.685600000000033, -2.3934265414e-07
-8.685500000000033, -2.5648802193e-07
-8.685400000000033, -2.5011064508e-07
-8.685300000000034, -2.4434865509e-07
-8.685200000000034, -2.4286944722e-07
-8.685100000000034, -2.4289889211e-07
-8.685000000000034, -2.512780668e-07
-8.684900000000034, -2.4793919806e-07
-8.684800000000035, -2.4330202564e-07
-8.684700000000035, -2.381014923e-07
-8.684600000000035, -2.358719513e-07
-8.684500000000035, -2.3489613454e-07
-8.684400000000036, -2.3788012982e-07
-8.684300000000036, -2.3611974598e-07
-8.684200000000036, -2.1561319841e-07
-8.684100000000036, -2.2739841654e-07
-8.684000000000037, -2.3044867703e-07
-8.683900000000037, -2.2677868117e-07
-8.683800000000037, -2.186600625e-07
-8.683700000000037, -2.1182822252e-07
-8.683600000000038, -2.045972991e-07
-8.683500000000038, -1.9737733226e-07
-8.683400000000038, -2.2128200783e-07
-8.683300000000038, -2.0612526441e-07
-8.683200000000038, -1.8155458292e-07
-8.683100000000039, -2.0218440966e-07
-8.683000000000039, -1.9664108208e-07
-8.68290000000004, -2.0458597305e-07
-8.68280000000004, -1.9659803741e-07
-8.68270000000004, -1.8297002669e-07
-8.68260000000004, -1.8839362781e-07
-8.68250000000004, -1.8545975422e-07
-8.68240000000004, -1.84263655e-07
-8.68230000000004, -1.9322827427e-07
-8.68220000000004, -1.8182936401e-07
-8.682100000000041, -1.8088040576e-07
-8.682000000000041, -1.8694616699e-07
-8.681900000000041, -1.8801246426e-07
-8.681800000000042, -1.8398120005e-07
-8.681700000000042, -1.7894801374e-07
-8.681600000000042, -1.7680746112e-07
-8.681500000000042, -1.8469678764e-07
-8.681400000000043, -1.7704910249e-07
-8.681300000000043, -1.7822789289e-07
-8.681200000000043, -1.6361391886e-07
-8.681100000000043, -1.6407989278e-07
-8.681000000000044, -1.6454369245e-07
-8.680900000000044, -1.6614581e-07
-8.680800000000044, -1.655404418e-07
-8.680700000000044, -1.58427369e-07
-8.680600000000045, -1.6220302257e-07
-8.680500000000045, -1.5666616093e-07
-8.680400000000045, -1.6991511131e-07
-8.680300000000045, -1.6096451816e-07
-8.680200000000045, -1.4889323552e-07
-8.680100000000046, -1.5198882863e-07
-8.680000000000046, -1.4823910988e-07
-8.679900000000046, -1.5259995223e-07
-8.679800000000046, -1.566125718e-07
-8.679700000000047, -1.4690844807e-07
-8.679600000000047, -1.4553791061e-07
-8.679500000000047, -1.4135738979e-07
-8.679400000000047, -1.5061019099e-07
-8.679300000000048, -1.4603556053e-07
-8.679200000000048, -1.4317778607e-07
-8.679100000000048, -1.424521372e-07
-8.679000000000048, -1.4206869992e-07
-8.678900000000048, -1.453379781e-07
-8.678800000000049, -1.5027082156e-07
-8.678700000000049, -1.3545297861e-07
-8.67860000000005, -1.3265760401e-07
-8.67850000000005, -1.3090506457e-07
-8.67840000000005, -1.3407712629e-07
-8.67830000000005, -1.4607300614e-07
-8.67820000000005, -1.4198204212e-07
-8.67810000000005, -1.4156952943e-07
-8.67800000000005, -1.3588127956e-07
-8.67790000000005, -1.3724879011e-07
-8.677800000000051, -1.3553879796e-07
-8.677700000000051, -1.2514709624e-07
-8.677600000000051, -1.3126708609e-07
-8.677500000000052, -1.2338784927e-07
