#Voltage(V),Current(A)
-8.684400000000036, -2.7860492992e-05
-8.684300000000036, -2.8105652746e-05
-8.684200000000036, -2.7986698115e-05
-8.684100000000036, -2.7967733331e-05
-8.684000000000037, -2.8050733818e-05
-8.683900000000037, -2.8067675885e-05
-8.683800000000037, -2.7985226552e-05
-8.683700000000037, -2.7646867238e-05
-8.683600000000038, -2.7724385291e-05
-8.683500000000038, -2.7555515771e-05
-8.683400000000038, -2.7223664802e-05
-8.683300000000038, -2.7102745662e-05
-8.683200000000038, -2.7213320209e-05
-8.683100000000039, -2.6770816476e-05
-8.683000000000039, -2.6580015401e-05
-8.68290000000004, -2.6496925784e-05
-8.68280000000004, -2.6593939765e-05
-8.68270000000004, -2.6402016374e-05
-8.68260000000004, -2.628123184e-05
-8.68250000000004, -2.6377667382e-05
-8.68240000000004, -2.6317431548e-05
-8.68230000000004, -2.6309253371e-05
-8.68220000000004, -2.6272138712e-05
-8.682100000000041, -2.6417381378e-05
-8.682000000000041, -2.6361862183e-05
-8.681900000000041, -2.6219708161e-05
-8.681800000000042, -2.6214514946e-05
-8.681700000000042, -2.6102894481e-05
-8.681600000000042, -2.6077188522e-05
-8.681500000000042, -2.5979077691e-05
-8.681400000000043, -2.6082469049e-05
-8.681300000000043, -2.5987685149e-05
-8.681200000000043, -2.5916384402e-05
-8.681100000000043, -2.5786855986e-05
-8.681000000000044, -2.5933495635e-05
-8.680900000000044, -2.5939740226e-05
-8.680800000000044, -2.5833616746e-05
-8.680700000000044, -2.5706849556e-05
-8.680600000000045, -2.6124005672e-05
-8.680500000000045, -2.5955370802e-05
-8.680400000000045, -2.5935840313e-05
-8.680300000000045, -2.5953571821e-05
-8.680200000000045, -2.6107192753e-05
-8.680100000000046, -2.59393546e-05
-8.680000000000046, -2.5782306693e-05
-8.679900000000046, -2.5909163014e-05
-8.679800000000046, -2.5906068913e-05
-8.679700000000047, -2.5540533898e-05
-8.679600000000047, -2.5283787181e-05
-8.679500000000047, -2.5330222343e-05
-8.679400000000047, -2.515722008e-05
-8.679300000000048, -2.4829287213e-05
-8.679200000000048, -2.4697037588e-05
-8.679100000000048, -2.4839289836e-05
-8.679000000000048, -2.4825221772e-05
-8.678900000000048, -2.4782073524e-05
-8.678800000000049, -2.4828728783e-05
-8.678700000000049, -2.4690720238e-05
-8.67860000000005, -2.458112067e-05
-8.67850000000005, -2.4681019568e-05
-8.67840000000005, -2.4912907975e-05
-8.67830000000005, -2.4865279556e-05
-8.67820000000005, -2.4767194191e-05
-8.67810000000005, -2.4741175366e-05
-8.67800000000005, -2.4858143661e-05
-8.67790000000005, -2.4811837648e-05
-8.677800000000051, -2.4729944926e-05
-8.677700000000051, -2.4779546948e-05
-8.677600000000051, -2.4911059882e-05
-8.677500000000052, -2.4744584152e-05
-8.677400000000052, -2.462186967e-05
-8.677300000000052, -2.4732293241e-05
-8.677200000000052, -2.4780540116e-05
-8.677100000000053, -2.469883475e-05
-8.677000000000053, -2.4831699193e-05
-8.676900000000053, -2.5090581403e-05
-8.676800000000053, -2.5022362024e-05
-8.676700000000054, -2.4501967346e-05
-8.676600000000054, -2.4377777663e-05
-8.676500000000054, -2.4314202165e-05
-8.676400000000054, -2.4316706913e-05
-8.676300000000055, -2.4359218514e-05
-8.676200000000055, -2.4286377084e-05
-8.676100000000055, -2.4302102247e-05
-8.676000000000055, -2.4144068448e-05
-8.675900000000055, -2.4058686904e-05
-8.675800000000056, -2.4090095394e-05
-8.675700000000056, -2.4113127438e-05
-8.675600000000056, -2.4111208404e-05
-8.675500000000056, -2.4039685741e-05
-8.675400000000057, -2.4178787498e-05
-8.675300000000057, -2.4094737455e-05
-8.675200000000057, -2.3905764465e-05
-8.675100000000057, -2.3801276257e-05
-8.675000000000058, -2.3861091904e-05
-8.674900000000058, -2.3737999072e-05
-8.674800000000058, -2.3527984013e-05
-8.674700000000058, -2.3481270546e-05
-8.674600000000058, -2.3596438041e-05
-8.674500000000059, -2.3364467779e-05
-8.674400000000059, -2.3274058549e-05
-8.67430000000006, -2.3408128982e-05
-8.67420000000006, -2.3264954507e-05
-8.67410000000006, -2.3180373319e-05
-8.67400000000006, -2.3179192794e-05
-8.67390000000006, -2.3238801077e-05
-8.67380000000006, -2.3149670596e-05
-8.67370000000006, -2.2927984901e-05
-8.67360000000006, -2.2934260414e-05
-8.673500000000061, -2.312441211e-05
-8.673400000000061, -2.2927904865e-05
-8.673300000000062, -2.2826392524e-05
-8.673200000000062, -2.3041451641e-05
-8.673100000000062, -2.3033258913e-05
-8.673000000000062, -2.2899912437e-05
-8.672900000000062, -2.2840442398e-05
-8.672800000000063, -2.3084061468e-05
-8.672700000000063, -2.3052094548e-05
-8.672600000000063, -2.2892085326e-05
-8.672500000000063, -2.2866723157e-05
-8.672400000000064, -2.3002436137e-05
-8.672300000000064, -2.2987294869e-05
-8.672200000000064, -2.2908145183e-05
-8.672100000000064, -2.2936730602e-05
-8.672000000000065, -2.2907572202e-05
-8.671900000000065, -2.2868529413e-05
-8.671800000000065, -2.2873155103e-05
-8.671700000000065, -2.2717505999e-05
-8.671600000000065, -2.2741764042e-05
-8.671500000000066, -2.2641606847e-05
-8.671400000000066, -2.2438905944e-05
-8.671300000000066, -2.2319634809e-05
-8.671200000000066, -2.2272035494e-05
-8.671100000000067, -2.2385591365e-05
-8.671000000000067, -2.2469743271e-05
-8.670900000000067, -2.2635545974e-05
-8.670800000000067, -2.2664189601e-05
-8.670700000000068, -2.2737478503e-05
-8.670600000000068, -2.276703708e-05
-8.670500000000068, -2.2837381039e-05
-8.670400000000068, -2.2716398234e-05
-8.670300000000069, -2.257738015e-05
-8.670200000000069, -2.252548984e-05
-8.670100000000069, -2.2441212423e-05
-8.67000000000007, -2.2291902496e-05
-8.66990000000007, -2.2151312805e-05
-8.66980000000007, -2.2279775294e-05
-8.66970000000007, -2.2253731004e-05
-8.66960000000007, -2.2133206585e-05
-8.66950000000007, -2.2219832317e-05
-8.66940000000007, -2.2294749215e-05
-8.66930000000007, -2.2173946491e-05
-8.669200000000071, -2.2041176635e-05
-8.669100000000071, -2.1936395569e-05
-8.669000000000072, -2.1910133e-05
-8.668900000000072, -2.1818377718e-05
-8.668800000000072, -2.1691572329e-05
-8.668700000000072, -2.1777108486e-05
-8.668600000000072, -2.1778441806e-05
-8.668500000000073, -2.1696623662e-05
-8.668400000000073, -2.1756812203e-05
-8.668300000000073, -2.1832818675e-05
-8.668200000000073, -2.1570422177e-05
-8.668100000000074, -2.1542959075e-05
-8.668000000000074, -2.16127155e-05
-8.667900000000074, -2.1729470973e-05
-8.667800000000074, -2.1568213924e-05
-8.667700000000075, -2.1534648113e-05
-8.667600000000075, -2.1728768843e-05
-8.667500000000075, -2.1608748284e-05
-8.667400000000075, -2.1551397367e-05
-8.667300000000075, -2.1429206754e-05
-8.667200000000076, -2.1463325538e-05
-8.667100000000076, -2.1348472728e-05
-8.667000000000076, -2.1234147425e-05
-8.666900000000076, -2.1309280783e-05
-8.666800000000077, -2.1365125576e-05
-8.666700000000077, -2.1290466975e-05
-8.666600000000077, -2.1208794351e-05
-8.666500000000077, -2.1380137696e-05
-8.666400000000078, -2.144534119e-05
-8.666300000000078, -2.1372705305e-05
-8.666200000000078, -2.1383815692e-05
-8.666100000000078, -2.1627494789e-05
-8.666000000000079, -2.1635849407e-05
-8.665900000000079, -2.1530271624e-05
-8.665800000000079, -2.1339255909e-05
-8.66570000000008, -2.116675023e-05
-8.66560000000008, -2.1202849894e-05
-8.66550000000008, -2.1131714675e-05
-8.66540000000008, -2.1247285986e-05
-8.66530000000008, -2.1270852812e-05
-8.66520000000008, -2.1031652068e-05
-8.66510000000008, -2.0978834073e-05
-8.66500000000008, -2.115659845e-05
-8.664900000000081, -2.1241701688e-05
-8.664800000000081, -2.1153175112e-05
-8.664700000000082, -2.1004458176e-05
-8.664600000000082, -2.1096835553e-05
-8.664500000000082, -2.1152058252e-05
-8.664400000000082, -2.0979130568e-05
-8.664300000000082, -2.0832681912e-05
-8.664200000000083, -2.0938028683e-05
-8.664100000000083, -2.0795583623e-05
-8.664000000000083, -2.0562622012e-05
-8.663900000000083, -2.0524717911e-05
-8.663800000000084, -2.0650901206e-05
-8.663700000000084, -2.0461775421e-05
-8.663600000000084, -2.0496554498e-05
-8.663500000000084, -2.0605051759e-05
-8.663400000000085, -2.062378735e-05
-8.663300000000085, -2.0468538423e-05
-8.663200000000085, -2.0331397536e-05
-8.663100000000085, -2.0538149329e-05
-8.663000000000086, -2.0399231289e-05
-8.662900000000086, -2.0050772946e-05
-8.662800000000086, -1.9948847694e-05
-8.662700000000086, -2.0061177565e-05
-8.662600000000086, -2.006968316e-05
-8.662500000000087, -1.9989245629e-05
-8.662400000000087, -2.0134402803e-05
-8.662300000000087, -2.0098779714e-05
-8.662200000000087, -1.9880519176e-05
-8.662100000000088, -1.9751230866e-05
-8.662000000000088, -1.9937520847e-05
-8.661900000000088, -1.9788289137e-05
-8.661800000000088, -1.9661561964e-05
-8.661700000000089, -1.9579447326e-05
-8.661600000000089, -1.9881605112e-05
-8.661500000000089, -1.9872946723e-05
-8.66140000000009, -2.0024410333e-05
-8.66130000000009, -2.0133937142e-05
-8.66120000000009, -2.0031249733e-05
-8.66110000000009, -1.9758259441e-05
-8.66100000000009, -1.962278111e-05
-8.66090000000009, -1.9837394575e-05
-8.66080000000009, -1.9889825126e-05
-8.66070000000009, -1.9810691811e-05
-8.660600000000091, -1.9779577997e-05
-8.660500000000091, -1.9948236513e-05
-8.660400000000092, -1.9862649424e-05
-8.660300000000092, -1.9908848117e-05
-8.660200000000092, -1.9853539925e-05
-8.660100000000092, -1.9938332116e-05
-8.660000000000093, -1.9907629394e-05
-8.659900000000093, -1.9839224478e-05
-8.659800000000093, -1.9873339625e-05
-8.659700000000093, -1.9903465727e-05
-8.659600000000093, -1.9895493097e-05
-8.659500000000094, -1.9794282707e-05
-8.659400000000094, -1.982431786e-05
-8.659300000000094, -1.9705061277e-05
-8.659200000000094, -1.9629642338e-05
-8.659100000000095, -1.9595947379e-05
-8.659000000000095, -1.9640434402e-05
-8.658900000000095, -1.9551363948e-05
-8.658800000000095, -1.9438479285e-05
-8.658700000000096, -1.9532282749e-05
-8.658600000000096, -1.9531469661e-05
-8.658500000000096, -1.9497534595e-05
-8.658400000000096, -1.94838467e-05
-8.658300000000096, -1.9596162019e-05
-8.658200000000097, -1.9446279111e-05
-8.658100000000097, -1.9421269826e-05
-8.658000000000097, -1.9435039576e-05
-8.657900000000097, -1.9502629584e-05
-8.657800000000098, -1.9469229301e-05
-8.657700000000098, -1.9310335119e-05
-8.657600000000098, -1.9381639504e-05
-8.657500000000098, -1.9523971787e-05
-8.657400000000099, -1.9364304535e-05
-8.657300000000099, -1.9244527721e-05
-8.657200000000099, -1.9353361495e-05
-8.6571000000001, -1.9326100301e-05
-8.6570000000001, -1.9184342818e-05
-8.6569000000001, -1.9107486878e-05
-8.6568000000001, -1.9326467736e-05
-8.6567000000001, -1.9184251869e-05
-8.6566000000001, -1.9070172129e-05
-8.6565000000001, -1.9001461624e-05
-8.656400000000101, -1.9096878532e-05
-8.656300000000101, -1.8930140868e-05
-8.656200000000101, -1.8749184164e-05
-8.656100000000102, -1.8710665245e-05
-8.656000000000102, -1.8550112145e-05
-8.655900000000102, -1.8282438759e-05
-8.655800000000102, -1.8098920918e-05
-8.655700000000103, -1.8104743503e-05
-8.655600000000103, -1.8156171791e-05
-8.655500000000103, -1.8228251065e-05
-8.655400000000103, -1.831749978e-05
-8.655300000000103, -1.8452667064e-05
-8.655200000000104, -1.8385420844e-05
-8.655100000000104, -1.8514130716e-05
-8.655000000000104, -1.8748052753e-05
-8.654900000000104, -1.8961660317e-05
-8.654800000000105, -1.8819893739e-05
-8.654700000000105, -1.8853221263e-05
-8.654600000000105, -1.9002911358e-05
-8.654500000000105, -1.8970988094e-05
-8.654400000000106, -1.8930832084e-05
-8.654300000000106, -1.900366442e-05
-8.654200000000106, -1.9240855181e-05
-8.654100000000106, -1.91148265e-05
-8.654000000000106, -1.9000599423e-05
