#Voltage(V),Current(A)
-8.69140000000002, -3.0522713246e-08
-8.69130000000002, -3.0435607812e-08
-8.69120000000002, -3.0442006249e-08
-8.69110000000002, -3.0470292955e-08
-8.69100000000002, -3.0502189219e-08
-8.69090000000002, -3.0450934219e-08
-8.69080000000002, -3.0631561287e-08
-8.690700000000021, -3.0306928522e-08
-8.690600000000021, -3.0295673525e-08
-8.690500000000021, -2.986503489e-08
-8.690400000000022, -3.0076805047e-08
-8.690300000000022, -3.0260878248e-08
-8.690200000000022, -3.0287374386e-08
-8.690100000000022, -3.0341979596e-08
-8.690000000000023, -3.0306662069e-08
-8.689900000000023, -3.0243402449e-08
-8.689800000000023, -3.018625705e-08
-8.689700000000023, -2.9830541592e-08
-8.689600000000024, -2.9873980623e-08
-8.689500000000024, -3.010010019e-08
-8.689400000000024, -3.0626875258e-08
-8.689300000000024, -3.0381762883e-08
-8.689200000000024, -2.9836009219e-08
-8.689100000000025, -2.9863521434e-08
-8.689000000000025, -2.9791692668e-08
-8.688900000000025, -2.9892696318e-08
-8.688800000000025, -2.9734565032e-08
-8.688700000000026, -2.9414749747e-08
-8.688600000000026, -2.9710196969e-08
-8.688500000000026, -3.0184761357e-08
-8.688400000000026, -3.0427756315e-08
-8.688300000000027, -3.0323910494e-08
-8.688200000000027, -2.9796972001e-08
-8.688100000000027, -2.9769124055e-08
-8.688000000000027, -2.9650616185e-08
-8.687900000000027, -2.9511159738e-08
-8.687800000000028, -2.942876165e-08
-8.687700000000028, -2.9120847955e-08
-8.687600000000028, -2.9026193005e-08
-8.687500000000028, -2.9106699273e-08
-8.687400000000029, -2.9000977619e-08
-8.687300000000029, -2.8345349179e-08
-8.68720000000003, -2.9009816771e-08
-8.68710000000003, -2.8992038992e-08
-8.68700000000003, -2.9060839069e-08
-8.68690000000003, -2.9097241949e-08
-8.68680000000003, -2.9361705955e-08
-8.68670000000003, -2.9303976135e-08
-8.68660000000003, -2.9396435508e-08
-8.68650000000003, -2.9333943274e-08
-8.686400000000031, -2.9413943281e-08
-8.686300000000031, -2.9132404933e-08
-8.686200000000031, -2.8635085414e-08
-8.686100000000032, -2.8782045192e-08
-8.686000000000032, -2.8642848093e-08
-8.685900000000032, -2.8698114107e-08
-8.685800000000032, -2.868871718e-08
-8.685700000000033, -2.8333719371e-08
-8.685600000000033, -2.8391962559e-08
-8.685500000000033, -2.8458369883e-08
-8.685400000000033, -2.8486082826e-08
-8.685300000000034, -2.85005477e-08
-8.685200000000034, -2.8629036919e-08
-8.685100000000034, -2.8461572654e-08
-8.685000000000034, -2.8325404244e-08
-8.684900000000034, -2.8310921607e-08
-8.684800000000035, -2.9178519156e-08
