#Voltage(V),Current(A)
-8.62700000000004, -2.8835325239e-08
-8.62600000000004, -2.7439714501e-08
-8.62500000000004, -2.6325265523e-08
-8.624000000000041, -2.5769853806e-08
-8.623000000000042, -2.4552036848e-08
-8.622000000000043, -2.4222536865e-08
-8.621000000000043, -2.3559145745e-08
-8.620000000000044, -2.3041247132e-08
-8.619000000000044, -2.2238504371e-08
-8.618000000000045, -2.0919497246e-08
-8.617000000000045, -2.0936075984e-08
-8.616000000000046, -2.0222062247e-08
-8.615000000000046, -1.9697280251e-08
-8.614000000000047, -1.9522316208e-08
-8.613000000000048, -1.9007913465e-08
-8.612000000000048, -1.8196061546e-08
-8.611000000000049, -1.7650847894e-08
-8.61000000000005, -1.7427410626e-08
-8.60900000000005, -1.6682786708e-08
-8.60800000000005, -1.6339010145e-08
-8.60700000000005, -1.5801358444e-08
-8.606000000000051, -1.5320306801e-08
-8.605000000000052, -1.5126968123e-08
-8.604000000000052, -1.4513553914e-08
-8.603000000000053, -1.4266761106e-08
-8.602000000000054, -1.4070907994e-08
-8.601000000000054, -1.380257153e-08
-8.600000000000055, -1.3349747086e-08
-8.599000000000055, -1.3246838293e-08
-8.598000000000056, -1.2953636386e-08
-8.597000000000056, -1.2715590358e-08
-8.596000000000057, -1.2430732887e-08
-8.595000000000057, -1.2119143911e-08
-8.594000000000058, -1.1821938095e-08
-8.593000000000059, -1.1618303652e-08
-8.59200000000006, -1.1404331701e-08
-8.59100000000006, -1.1044821946e-08
-8.59000000000006, -1.0910711445e-08
-8.58900000000006, -1.078323475e-08
-8.588000000000061, -1.0538738771e-08
-8.587000000000062, -1.0506765236e-08
-8.586000000000062, -1.0345351242e-08
-8.585000000000063, -1.021165108e-08
-8.584000000000064, -1.0003753381e-08
-8.583000000000064, -9.5886951712e-09
-8.582000000000065, -9.591402339e-09
-8.581000000000065, -9.5094474517e-09
-8.580000000000066, -9.3986001204e-09
-8.579000000000066, -9.3767225096e-09
-8.578000000000067, -9.2349479175e-09
-8.577000000000067, -9.0350411597e-09
-8.576000000000068, -8.9126643843e-09
-8.575000000000069, -8.8142639854e-09
-8.57400000000007, -8.6470883787e-09
-8.57300000000007, -8.5740481381e-09
-8.57200000000007, -8.4916322862e-09
-8.57100000000007, -8.4933766686e-09
-8.570000000000071, -8.291126008e-09
-8.569000000000072, -8.1933819729e-09
-8.568000000000072, -8.1358253468e-09
-8.567000000000073, -8.0348483422e-09
-8.566000000000074, -7.9752311422e-09
-8.565000000000074, -7.9001329922e-09
-8.564000000000075, -7.7761574957e-09
-8.563000000000075, -7.7375377217e-09
-8.562000000000076, -7.6258421799e-09
-8.561000000000076, -7.563995652e-09
-8.560000000000077, -7.4127761707e-09
-8.559000000000077, -7.3412613766e-09
-8.558000000000078, -7.2867099021e-09
-8.557000000000079, -7.2207151369e-09
-8.556000000000079, -7.1463146512e-09
-8.55500000000008, -7.1240728872e-09
-8.55400000000008, -7.0159384968e-09
-8.55300000000008, -6.9328436325e-09
-8.552000000000081, -6.9028534e-09
-8.551000000000082, -6.8503140938e-09
-8.550000000000082, -6.7546221949e-09
-8.549000000000083, -6.7228391742e-09
-8.548000000000084, -6.6454779457e-09
-8.547000000000084, -6.6140559696e-09
-8.546000000000085, -6.6196181869e-09
-8.545000000000085, -6.5495608936e-09
-8.544000000000086, -6.5144885042e-09
-8.543000000000086, -6.4369962693e-09
-8.542000000000087, -6.3968284003e-09
-8.541000000000087, -6.357007809e-09
-8.540000000000088, -6.3126126548e-09
-8.539000000000089, -6.2770464382e-09
-8.538000000000089, -6.2426743774e-09
-8.53700000000009, -6.1769278581e-09
-8.53600000000009, -6.1301173027e-09
-8.53500000000009, -6.1334404222e-09
-8.534000000000091, -6.0918070588e-09
-8.533000000000092, -6.0581428762e-09
-8.532000000000092, -5.9723865853e-09
-8.531000000000093, -5.9709677203e-09
-8.530000000000094, -5.912748513e-09
-8.529000000000094, -5.8796922886e-09
-8.528000000000095, -5.8700870831e-09
-8.527000000000095, -5.8050280138e-09
-8.526000000000096, -5.7707576495e-09
-8.525000000000096, -5.7236868578e-09
-8.524000000000097, -5.7594791159e-09
-8.523000000000097, -5.7146252175e-09
-8.522000000000098, -5.6718651997e-09
-8.521000000000098, -5.6100759593e-09
-8.520000000000099, -5.5935767129e-09
-8.5190000000001, -5.5753996975e-09
-8.5180000000001, -5.5594409076e-09
-8.5170000000001, -5.5184554704e-09
-8.516000000000101, -5.4704147878e-09
-8.515000000000102, -5.4736619681e-09
-8.514000000000102, -5.4383351156e-09
-8.513000000000103, -5.4352931045e-09
-8.512000000000103, -5.3614095386e-09
-8.511000000000104, -5.3166746561e-09
-8.510000000000105, -5.3177950932e-09
-8.509000000000105, -5.2952406904e-09
-8.508000000000106, -5.2564739228e-09
-8.507000000000106, -5.2224966574e-09
-8.506000000000107, -5.2367430392e-09
-8.505000000000107, -5.1766875231e-09
-8.504000000000108, -5.1629887032e-09
-8.503000000000108, -5.1489581487e-09
-8.502000000000109, -5.1152260205e-09
-8.50100000000011, -5.0994786172e-09
